Calcimycin,Benzoxazoles
Transcription Activator-Like Effector Nucleases,Recombinant Fusion Proteins
"Endoscopy, Gastrointestinal",Endoscopic Mucosal Resection
Chocolate,Food
Bacillus,Bacillus licheniformis
Bacillus amyloliquefaciens,Bacillus
Bifidobacterium,Bifidobacterium longum
Bacillus pumilus,Bacillus
Lactobacillus,Lactobacillus paracasei
Escherichia coli O104,Enterohemorrhagic Escherichia coli
Bifidobacterium,Bifidobacterium animalis
Saccharomyces boulardii,Saccharomyces
Bifidobacterium,Bifidobacterium breve
Bifidobacterium bifidum,Bifidobacterium
Lactobacillus,Lactobacillus salivarius
Mastic Resin,"Resins, Plant"
Lactobacillus,Lactobacillus gasseri
Lactobacillus johnsonii,Lactobacillus
Phenoxypropanolamines,Acebutolol
Bacillus coagulans,Bacillus
Streptococcus,Streptococcus salivarius
Propionibacterium freudenreichii,Propionibacterium
Lactobacillus,Lactobacillus crispatus
Ocimum sanctum,Ocimum
Bifidobacterium,Bifidobacterium adolescentis
Pediococcus pentosaceus,Pediococcus
Leuconostoc,Leuconostoc mesenteroides
Pediococcus acidilactici,Pediococcus
Bacteriocins,Pediocins
Lactobacillus pentosus,Lactobacillus
Bacillus,Bacillus clausii
Faecalibacterium,Clostridiales
"Gram-Negative Anaerobic Straight, Curved, and Helical Rods",Faecalibacterium
Faecalibacterium prausnitzii,Faecalibacterium
Paenibacillus,Paenibacillus polymyxa
Paenibacillus polymyxa,Nitrogen-Fixing Bacteria
Streptococcus,Streptococcus iniae
Paenibacillus larvae,Paenibacillus
Bdellovibrio,Bdellovibrio bacteriovorus
Enterococcus hirae,Enterococcus
Bacteroides,Bacteroides thetaiotaomicron
Aeromonas veronii,Aeromonas
Pseudomonas,Pseudomonas chlororaphis
Butyrivibrio fibrisolvens,Butyrivibrio
Bacillus,Bacillus firmus
Streptococcus gallolyticus,Streptococcus
Private Sector,Informal Sector
Megasphaera elsdenii,Megasphaera
Fabaceae,Lotus
Lipid Droplet Associated Proteins,Carrier Proteins
Lipid Droplet Associated Proteins,Perilipins
Nogo Receptors,GPI-Linked Proteins
"Receptors, Cell Surface",Nogo Receptors
Nogo Receptors,Nerve Tissue Proteins
Lamiaceae,Pogostemon
Streptococcus gallolyticus subspecies gallolyticus,Streptococcus gallolyticus
Asteraceae,Psacalium
Bifidobacterium longum subspecies infantis,Bifidobacterium longum
Lactobacillus,Lactobacillus sakei
Bifidobacterium pseudocatenulatum,Bifidobacterium
"Education, Professional",Teacher Training
Sleep Hygiene,Health Behavior
Sleep,Sleep Hygiene
Heart Rate Determination,Heart Function Tests
Physical Examination,Heart Rate Determination
Orthodontic Friction,Biomechanical Phenomena
Emergency Medicine,Pediatric Emergency Medicine
Pediatric Emergency Medicine,Pediatrics
Planning Techniques,Strategic Planning
Student Run Clinic,Health Facilities
Economics,Expropriation
Pilots,Occupational Groups
Asparagales,Asparagaceae
Value-Based Health Insurance,"Insurance, Health"
Quality Improvement,Value-Based Health Insurance
Anti-Vaccination Movement,Human Activities
Asparagales,Amaryllidaceae
Attentional Bias,Attention
Asparagales,Xanthorrhoeaceae
Asparagales,Lilianae
Lilianae,Liliales
Antagomirs,Oligonucleotides
Bacteroidetes,Tannerella forsythia
Colchicaceae,Liliales
Emergency Medical Services,Call Centers
Hypoxidaceae,Asparagales
Anthropometry,Kinanthropometry
Healthy Lifestyle,Life Style
Health Services Administration,Intersectoral Collaboration
Independent Medical Evaluation,Health Care Evaluation Mechanisms
Protein Domains,C2 Domains
Pleckstrin Homology Domains,Protein Domains
Liliales,Melanthiaceae
Immunoglobulin Domains,Protein Domains
"Foot Deformities, Acquired",Talipes
Talipes,"Foot Deformities, Congenital"
Animal Structures,"Gizzard, Non-avian"
NLR Proteins,Intracellular Signaling Peptides and Proteins
Proteins,Parkinson Disease Associated Proteins
CYS2-HIS2 Zinc Fingers,Zinc Fingers
Proteins,Tripartite Motif Proteins
Cadherin Related Proteins,Cell Adhesion Molecules
Membrane Proteins,Cadherin Related Proteins
Fiscal Policy,Policy
Neuropsychological Tests,Mental Navigation Tests
Talipes Cavus,Talipes
Membrane Transport Proteins,Solute Carrier Proteins
Metatarsal Valgus,Foot Deformities
Foot Deformities,Metatarsus Varus
Methyl CpG Binding Domain,Protein Domains
Scapula,Coracoid Process
Anterior Cruciate Ligament Injuries,Knee Injuries
Wounds and Injuries,Shoulder Injuries
Tibial Meniscus Injuries,Leg Injuries
Diet Therapy,"Diet, Carbohydrate Loading"
"Diet, Carbohydrate Loading",Diet
Bone and Bones,Rib Cage
Coxa Magna,Bone Diseases
Synostosis,Tarsal Coalition
Tarsal Coalition,"Foot Deformities, Congenital"
Musculoskeletal System,Aponeurosis
Morton Neuroma,Metatarsalgia
Neuralgia,Morton Neuroma
Nucleus Pulposus,Intervertebral Disc
Intervertebral Disc,Annulus Fibrosus
"Microtrauma, Physical",Wounds and Injuries
Urography,Cystography
Brain Contusion,"Brain Injuries, Traumatic"
Contusions,Brain Contusion
"Brain Injuries, Diffuse",Brain Injuries
"Brain Injuries, Traumatic",Chronic Traumatic Encephalopathy
Chronic Traumatic Encephalopathy,"Brain Injury, Chronic"
Neurodegenerative Diseases,Chronic Traumatic Encephalopathy
Closed Fracture Reduction,Fracture Fixation
Joint Dislocations,"Diastasis, Muscle"
"Diastasis, Bone",Joint Dislocations
Tendons,Hamstring Tendons
Hamstring Muscles,"Muscle, Skeletal"
Signal Transduction,Non-Neuronal Cholinergic System
Non-Neuronal Cholinergic System,Metabolic Networks and Pathways
Prostheses and Implants,Punctal Plugs
Rotator Cuff Injuries,Rupture
Shoulder Injuries,Rotator Cuff Injuries
Rotator Cuff Injuries,Tendon Injuries
Collateral Ligaments,"Collateral Ligament, Ulnar"
Ulnar Collateral Ligament Reconstruction,Orthopedic Procedures
Reconstructive Surgical Procedures,Ulnar Collateral Ligament Reconstruction
Elbow Tendinopathy,Tendinopathy
Brain Injuries,"Brain Injuries, Traumatic"
Rotator Cuff Tear Arthropathy,Chondrocalcinosis
Crystal Arthropathies,Rotator Cuff Tear Arthropathy
Crystal Arthropathies,Joint Diseases
Fabaceae,Vigna
Patient Comfort,Patient Care
Polyporaceae,Wolfiporia
Enthesopathy,Tendinopathy
Magnoliopsida,Gentianales
Buttermilk,Milk
Cultured Milk Products,Buttermilk
Kefir,Milk
Cultured Milk Products,Kefir
Koumiss,Milk
Cultured Milk Products,Koumiss
School Teachers,Educational Personnel
Perilipins,Perilipin-1
Giant Cell Tumor of Tendon Sheath,Giant Cell Tumors
Synovitis,Giant Cell Tumor of Tendon Sheath
Giant Cell Tumor of Tendon Sheath,Tendinopathy
Perilipins,Perilipin-2
Perilipin-3,Perilipins
Perilipins,Perilipin-5
Nogo Proteins,Myelin Proteins
Fracture Fixation,Open Fracture Reduction
Nogo Receptor 1,Nogo Receptors
Nogo Receptors,Nogo Receptor 2
Discoidin Domain Receptors,Receptor Protein-Tyrosine Kinases
"Receptors, Collagen",Discoidin Domain Receptors
Discoidin Domain Receptors,"Receptors, Mitogen"
Discoidin Domain Receptors,Discoidin Domain Receptor 1
Discoidin Domain Receptor 2,Discoidin Domain Receptors
Lectins,Discoidins
Discoidins,Protozoan Proteins
Protein Domains,Discoidin Domain
Lysine Acetyltransferases,Acetyltransferases
Biomedical Research,Pharmacy Research
Pharmacy Research,Pharmacy
Pharmacy,Nuclear Pharmacy
High Fidelity Simulation Training,Simulation Training
Exercise Test,Walk Test
Tensins,Microfilament Proteins
Shoulder Fractures,Bankart Lesions
Tenocytes,Connective Tissue Cells
Connective Tissue Cells,Synoviocytes
MutL Proteins,DNA Repair Enzymes
Adenosine Triphosphatases,MutL Proteins
MutL Proteins,DNA-Binding Proteins
MutL Proteins,MutL Protein Homolog 1
Mismatch Repair Endonuclease PMS2,MutL Proteins
Endodeoxyribonucleases,Mismatch Repair Endonuclease PMS2
"ATP Binding Cassette Transporter, Subfamily G",ATP-Binding Cassette Transporters
"ATP Binding Cassette Transporter, Subfamily G","ATP Binding Cassette Transporter, Subfamily G, Member 2"
"ATP Binding Cassette Transporter, Subfamily G, Member 1","ATP Binding Cassette Transporter, Subfamily G"
Central Nervous System Diseases,Hyperekplexia
"ATP Binding Cassette Transporter, Subfamily G, Member 5",Lipoproteins
"ATP Binding Cassette Transporter, Subfamily G","ATP Binding Cassette Transporter, Subfamily G, Member 5"
"ATP Binding Cassette Transporter, Subfamily G, Member 8",Lipoproteins
"ATP Binding Cassette Transporter, Subfamily G","ATP Binding Cassette Transporter, Subfamily G, Member 8"
Hemochromatosis Protein,Histocompatibility Antigens Class I
Lymph Nodes,Sentinel Lymph Node
Place Cells,Pyramidal Cells
Neurons,Grid Cells
Perirhinal Cortex,Temporal Lobe
Axons,Axon Initial Segment
Esophageal Mucosa,Esophagus
Mucous Membrane,Esophageal Mucosa
Anorectal Malformations,Digestive System Abnormalities
"Dyskinesia, Drug-Induced",Tardive Dyskinesia
Huntingtin Protein,Proteins
Biological Therapy,Phage Therapy
Breast Density,Body Constitution
Diagnostic Techniques and Procedures,Traditional Pulse Diagnosis
Sutureless Surgical Procedures,Wound Closure Techniques
"Receptors, Cell Surface",Endoglin
"Alert Fatigue, Health Personnel",Mental Fatigue
Attitude of Health Personnel,"Alert Fatigue, Health Personnel"
"Alert Fatigue, Health Personnel","Quality Assurance, Health Care"
Clinical Protocols,Standing Orders
Patient Reported Outcome Measures,Health Care Surveys
Patient Outcome Assessment,Patient Reported Outcome Measures
"Pneumonia, Necrotizing",Pneumonia
Acute-Phase Proteins,Lipocalin-2
Lipocalin-2,Lipocalins
Proto-Oncogene Proteins,Lipocalin-2
Multiple Chronic Conditions,Chronic Disease
"Genetic Diseases, Inborn",Familial Multiple Lipomatosis
Familial Multiple Lipomatosis,Lipomatosis
Aneurysm,Microaneurysm
Acute Febrile Encephalopathy,Brain Diseases
Sepsis,Neonatal Sepsis
Neonatal Sepsis,"Infant, Newborn, Diseases"
Peripheral Nervous System Diseases,Small Fiber Neuropathy
Network Meta-Analysis,Meta-Analysis as Topic
Medical Oncology,Surgical Oncology
Surgical Oncology,"Specialties, Surgical"
Vascular Diseases,"Stenosis, Pulmonary Vein"
"Stenosis, Pulmonary Artery",Arterial Occlusive Diseases
Electrophysiological Phenomena,Cortical Excitability
Cortical Excitability,Nervous System Physiological Phenomena
Patient Outcome Assessment,Minimal Clinically Important Difference
Single-Balloon Enteroscopy,Balloon Enteroscopy
"Endoscopy, Gastrointestinal",Balloon Enteroscopy
ADAMTS Proteins,ADAM Proteins
Extracellular Matrix Proteins,ADAMTS Proteins
ADAMTS1 Protein,ADAMTS Proteins
ADAMTS Proteins,ADAMTS5 Protein
Laboratory Critical Values,Clinical Laboratory Techniques
ADAMTS Proteins,ADAMTS7 Protein
ADAMTS9 Protein,ADAMTS Proteins
ADAMTS Proteins,ADAMTS13 Protein
ADAMTS4 Protein,ADAMTS Proteins
Poly(ADP-ribose) Polymerases,Poly (ADP-Ribose) Polymerase-1
Promyelocytic Leukemia Protein,Tumor Suppressor Proteins
Nuclear Proteins,Promyelocytic Leukemia Protein
Promyelocytic Leukemia Protein,Transcription Factors
Tripartite Motif Proteins,Promyelocytic Leukemia Protein
Leucine-Rich Repeat Serine-Threonine Protein Kinase-2,Protein-Serine-Threonine Kinases
Parkinson Disease Associated Proteins,Leucine-Rich Repeat Serine-Threonine Protein Kinase-2
Forkhead Box Protein O1,Forkhead Transcription Factors
Peptides,Trefoil Factors
Trefoil Factor-1,Trefoil Factors
Trefoil Factors,Trefoil Factor-2
Trefoil Factor-3,Trefoil Factors
Membrane Glycoproteins,Signaling Lymphocytic Activation Molecule Family
Signaling Lymphocytic Activation Molecule Family,"Receptors, Immunologic"
Signaling Lymphocytic Activation Molecule Family,Signaling Lymphocytic Activation Molecule Family Member 1
CD48 Antigen,GPI-Linked Proteins
Signaling Lymphocytic Activation Molecule Family,CD48 Antigen
Signaling Lymphocytic Activation Molecule Associated Protein,"Adaptor Proteins, Signal Transducing"
"ATP Binding Cassette Transporter, Subfamily B","ATP Binding Cassette Transporter, Subfamily B, Member 2"
Autophagosomes,Phagosomes
Proteins,Autophagy-Related Proteins
Pharmacogenomic Variants,"Polymorphism, Genetic"
Genetic Testing,Pharmacogenomic Testing
Beclin-1,Apoptosis Regulatory Proteins
Autophagy-Related Proteins,Beclin-1
Autophagy-Related Protein 5,Autophagy-Related Proteins
Protein-Serine-Threonine Kinases,Autophagy-Related Protein-1 Homolog
Autophagy-Related Protein-1 Homolog,Intracellular Signaling Peptides and Proteins
Autophagy-Related Proteins,Autophagy-Related Protein-1 Homolog
Autophagy-Related Protein 8 Family,Autophagy-Related Proteins
Microtubule-Associated Proteins,Autophagy-Related Protein 8 Family
Autophagy-Related Protein 8 Family,Ubiquitins
Autophagy-Related Proteins,Autophagy-Related Protein 12
Autophagy-Related Protein 12,Ubiquitins
Autophagy-Related Proteins,Autophagy-Related Protein 7
Camelidae,Artiodactyla
Occupational Groups,Educational Personnel
Pyrin Domain,Death Domain Superfamily
Protein Interaction Domains and Motifs,B30.2-SPRY Domain
Pyrin,Cytoskeletal Proteins
Tripartite Motif Proteins,Pyrin
"NLR Family, Pyrin Domain-Containing 3 Protein",NLR Proteins
Faculty,"Faculty, Pharmacy"
Infradian Rhythm,Periodicity
Periodicity,Ultradian Rhythm
Global Burden of Disease,Health Services Research
Health Status Indicators,Global Burden of Disease
Pharmaceutical Research,Biomedical Research
Polycomb Repressive Complex 2,Enhancer of Zeste Homolog 2 Protein
Suppressor of Cytokine Signaling 1 Protein,Suppressor of Cytokine Signaling Proteins
Suppressor of Cytokine Signaling Proteins,Suppressor of Cytokine Signaling 3 Protein
"Influenza A Virus, H5N8 Subtype",Influenza A virus
Electrolytes,Polyelectrolytes
Polyelectrolytes,Polymers
Perilipins,Perilipin-4
Transcriptional Regulator ERG,Trans-Activators
Carbonic Anhydrases,Carbonic Anhydrase IX
Carbonic Anhydrase IX,Membrane Proteins
"Antigens, Neoplasm",Carbonic Anhydrase IX
Small Leucine-Rich Proteoglycans,Proteoglycans
Extracellular Matrix Proteins,Small Leucine-Rich Proteoglycans
Lumican,Small Leucine-Rich Proteoglycans
Small Leucine-Rich Proteoglycans,Fibromodulin
Fibronectin Type III Domain,Immunoglobulin Domains
RNA-Binding Motifs,Double-Stranded RNA Binding Motif
Zika Virus Infection,Arbovirus Infections
Flavivirus Infections,Zika Virus Infection
Zika Virus,Flavivirus
Solute Carrier Proteins,Mitochondrial Uncoupling Proteins
Mitochondrial Uncoupling Proteins,Mitochondrial Membrane Transport Proteins
Mitochondrial Uncoupling Proteins,Uncoupling Protein 2
Uncoupling Protein 3,Mitochondrial Uncoupling Proteins
Nuclear Receptor Coactivators,Peroxisome Proliferator-Activated Receptor Gamma Coactivator 1-alpha
Peroxisome Proliferator-Activated Receptor Gamma Coactivator 1-alpha,RNA Recognition Motif Proteins
Transcription Factors,Snail Family Transcription Factors
Extreme Environments,Environment
"Education, Professional",Mentoring
Mentoring,Education
Data Collection,Metadata
Uncoupling Protein 1,Mitochondrial Uncoupling Proteins
Delirium,Emergence Delirium
Emergence Delirium,Postoperative Complications
Social Behavior,"Harassment, Non-Sexual"
Domestication,Agriculture
Occupational Groups,Government Employees
Acute Retroviral Syndrome,HIV Infections
Death,Body Remains
Body Remains,"Anthropology, Physical"
Forensic Medicine,Body Remains
Forkhead Box Protein O3,Forkhead Transcription Factors
Homeodomain Proteins,Nanog Homeobox Protein
Nanog Homeobox Protein,Transcription Factors
Bacterial Proteins,Transcription Activator-Like Effectors
Transcription Activator-Like Effectors,Trans-Activators
Virulence Factors,Transcription Activator-Like Effectors
RNA-Binding Motifs,Amino Acid Motifs
RNA-Binding Motifs,RNA Recognition Motif
Bunion,"Foot Deformities, Acquired"
Fibroma,"Fibromatosis, Plantar"
"Fibromatosis, Plantar",Foot Diseases
Contracture,"Fibromatosis, Plantar"
"Fibromatosis, Plantar",Connective Tissue Diseases
Aldehyde Dehydrogenase,"Aldehyde Dehydrogenase, Mitochondrial"
"Aldehyde Dehydrogenase, Mitochondrial",Mitochondrial Proteins
Basic Helix-Loop-Helix Transcription Factors,Twist Transcription Factors
Twist-Related Protein 2,Twist Transcription Factors
Helix-Turn-Helix Motifs,ETS Motif
Life History Traits,Biological Evolution
Biological Phenomena,Life History Traits
Inbreeding Depression,Genetic Phenomena
Shc Signaling Adaptor Proteins,"Src Homology 2 Domain-Containing, Transforming Protein 1"
"Src Homology 2 Domain-Containing, Transforming Protein 2",Shc Signaling Adaptor Proteins
Shc Signaling Adaptor Proteins,"Src Homology 2 Domain-Containing, Transforming Protein 3"
Thermotolerance,Acclimatization
Heat-Shock Response,Thermotolerance
Axon Guidance,Neuronal Outgrowth
Fatty Acid-Binding Proteins,Fatty Acid-Binding Protein 7
Fatty Acid-Binding Protein 7,Nerve Tissue Proteins
Sex Chromosomes,Pseudoautosomal Regions
Pseudoautosomal Regions,Genetic Loci
Psychotherapy,Emotion-Focused Therapy
Taxis Response,"Behavior, Animal"
"Orientation, Spatial",Taxis Response
Taxis Response,Locomotion
Cell Adhesion Molecules,12E7 Antigen
Phototaxis,Taxis Response
Neurogenesis,Neuronal Outgrowth
N-Myc Proto-Oncogene Protein,Basic Helix-Loop-Helix Leucine Zipper Transcription Factors
Proto-Oncogene Proteins,N-Myc Proto-Oncogene Protein
